,title,year,min_players,max_players,avg_time,geek_age,community_age,avg_rating,no_ratings,complexity,comments,fans,views
0,Catan,1995,3,4,90,10,8,7.165,94171,2.33,17555,5088,3571351
1,Carcassonne,2000,2,5,37,7,8,7.419,94026,1.92,17450,5448,3373679
2,Pandemic,2008,2,4,45,8,10,7.619,93780,2.42,15474,6115,3571118
3,7 Wonders,2010,2,7,30,10,10,7.763,77889,2.33,13050,5250,3515971
4,Dominion,2008,2,4,30,13,10,7.63,73760,2.36,12845,6153,3957025
5,Ticket to Ride,2004,2,5,45,8,8,7.433,66606,1.86,11981,3097,2234052
6,Agricola,2007,1,5,90,12,12,7.965,60774,3.64,12337,5640,4560663
7,Codenames,2015,2,8,15,14,10,7.649,60624,1.3,8252,1501,1976574
8,Puerto Rico,2002,3,5,120,12,12,8.012,60272,3.28,11663,3621,3631081
9,Small World,2009,2,5,60,8,8,7.276,58174,2.36,9336,3593,2667843
10,King of Tokyo,2011,2,6,30,8,6,7.199,53806,1.49,9213,2725,1856109
11,Terraforming Mars,2016,1,5,120,12,12,8.427,53792,3.24,8057,4595,5074705
12,Power Grid,2004,2,6,120,12,12,7.871,53626,3.27,9987,2910,3035492
13,Ticket to Ride: Europe,2005,2,5,45,8,8,7.552,53428,1.95,8204,1927,1289531
14,Splendor,2014,2,4,30,10,8,7.457,52808,1.8,7878,2044,1807978
15,Love Letter,2012,2,4,20,10,8,7.237,51971,1.19,9321,1780,1628451
16,7 Wonders Duel,2015,2,[],30,10,10,8.105,51014,2.22,7141,2144,1773143
17,Scythe,2016,1,5,102,14,12,8.255,50263,3.39,7780,5315,5575669
18,Dixit,2008,3,6,30,8,8,7.272,46697,1.23,7603,1657,1649124
19,Citadels,2000,2,8,40,10,10,7.089,46348,2.05,9523,1533,1689225
20,Race for the Galaxy,2007,2,4,45,12,12,7.761,43770,2.98,9253,3217,2942031
21,Azul,2017,2,4,37,8,8,7.855,43233,1.78,5642,1730,1673910
22,Lords of Waterdeep,2012,2,5,90,12,10,7.757,42801,2.47,7311,3028,1959097
23,The Castles of Burgundy,2011,2,4,60,12,12,8.13,42225,3.0,7300,2254,2735683
24,Stone Age,2008,2,4,75,10,10,7.58,42048,2.48,7455,1917,1953793
25,Patchwork,2014,2,[],22,8,6,7.673,40637,1.65,5413,1099,1123668
26,Munchkin,2001,3,6,90,10,12,5.91,39267,1.8,7611,1945,1146227
27,Forbidden Island,2010,2,4,30,10,8,6.801,39056,1.74,7701,1621,1340582
28,Twilight Struggle,2005,2,[],150,13,14,8.305,37991,3.58,8352,3956,4611436
29,Pandemic Legacy: Season 1,2015,2,4,60,13,12,8.623,36960,2.83,5798,2562,3085111
30,Dead of Winter: A Crossroads Game,2014,2,5,90,13,12,7.609,36906,3.01,5267,2816,2344206
31,Terra Mystica,2012,2,5,105,12,12,8.161,36367,3.95,5510,2967,3709334
32,Bohnanza,1997,2,7,45,13,8,7.038,36294,1.67,8247,763,1143335
33,Hanabi,2010,2,5,25,8,10,7.11,35879,1.69,6232,915,1096434
34,Arkham Horror,2005,1,8,180,14,14,7.269,35826,3.57,8340,4898,3441354
35,Gloomhaven,2017,1,4,90,12,14,8.831,34882,3.83,6557,6244,9440986
36,Lost Cities,1999,2,[],30,10,8,7.168,34826,1.5,8518,808,1366867
37,Betrayal at House on the Hill,2004,3,6,60,12,12,7.068,34331,2.38,7444,2270,2249761
38,The Resistance,2009,5,10,30,13,12,7.302,34292,1.61,5944,1484,1587868
39,Coup,2012,2,6,15,13,10,7.019,33115,1.41,5934,1098,1522106
40,Star Realms,2014,2,[],20,12,8,7.593,33038,1.95,5396,1804,1320421
41,Jaipur,2009,2,[],30,12,8,7.513,33025,1.5,5688,1001,1056231
42,Takenoko,2011,2,4,45,8,8,7.285,32024,1.98,4897,1445,1177764
43,Battlestar Galactica: The Board Game,2008,3,6,150,14,14,7.741,31633,3.24,6504,3139,2265463
44,Sushi Go!,2013,2,5,15,8,6,7.057,31030,1.16,4868,736,865697
45,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,90,14,12,7.867,30827,3.77,5274,2914,3277566
46,Magic: The Gathering,1993,2,[],20,13,12,7.503,30548,3.2,6713,1745,953682
47,Blood Rage,2015,2,4,75,14,12,8.006,30441,2.88,4676,2224,2567269
48,Five Tribes,2014,2,4,60,13,12,7.777,29478,2.85,4590,1282,1344275
49,Dominion: Intrigue,2009,2,4,30,13,10,7.731,28869,2.43,4040,1044,1014573
50,Wingspan,2019,1,5,55,10,10,8.124,28483,2.38,4233,2311,1549742
51,Mysterium,2015,2,7,42,10,8,7.34,28478,1.91,4060,977,1232670
52,Risk,1959,2,6,120,10,8,5.583,28420,2.09,6695,649,1347753
53,Tzolk'in: The Mayan Calendar,2012,2,4,90,13,12,7.91,27863,3.66,4265,1369,1526369
54,Galaxy Trucker,2007,2,4,60,10,10,7.42,27806,2.33,5674,1141,1313175
55,Hive,2000,2,[],20,9,8,7.32,27427,2.33,6073,1173,1255862
56,Sheriff of Nottingham,2014,3,5,60,14,8,7.164,27370,1.65,4254,825,1057095
57,Alhambra,2003,2,6,52,8,8,7.024,27052,2.11,6181,632,1127661
58,Eldritch Horror,2013,1,8,180,14,14,7.827,27005,3.32,4325,3193,2877589
59,A Game of Thrones: The Board Game (Second Edition),2011,3,6,180,14,14,7.626,26851,3.71,3957,2475,2153925
60,Kingdomino,2016,2,4,17,8,6,7.363,26749,1.21,3994,759,886132
61,Chess,1475,2,[],60,6,6,7.107,26467,3.71,6216,828,450767
62,Caverna: The Cave Farmers,2013,1,7,120,12,12,8.038,26249,3.78,4298,1701,2163105
63,Monopoly,1933,2,8,120,8,8,4.36,26067,1.66,6083,349,911445
64,Mage Knight Board Game,2011,1,4,150,14,14,8.099,26053,4.3,5351,3821,4047578
65,Cosmic Encounter,2008,3,5,90,12,12,7.544,25937,2.57,5426,1819,1862705
66,Caylus,2005,2,5,105,12,12,7.791,25863,3.81,6023,1145,1944805
67,Android: Netrunner,2012,2,[],45,14,12,7.88,25724,3.38,5320,3849,4263603
68,The Resistance: Avalon,2012,5,10,30,13,12,7.596,25308,1.77,3804,1047,1302555
69,Eclipse,2011,2,6,120,14,12,7.913,25289,3.7,4634,2817,3257175
70,BANG!,2002,4,7,30,10,10,6.514,25137,1.64,5685,744,1446170
71,Le Havre,2008,1,5,90,12,12,7.875,25004,3.75,4986,1472,1940887
