type,title,year,min_players,max_players,min_time,max_time,avg_time,min_age,com_age,bay_rating,avg_rating,num_ratings,complexity,comp_votes,comments,views,fans,owners,traders,wanters,wishers,mechanics,categories
boardgame,Catan,1995,3,4,60,120,90.0,10,8,7.00457,7.16472,94561,2.3277,7138,17615,3582722,5112,141539,1793,464,5218,"['Dice Rolling', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Race', 'Random Production', 'Trading', 'Variable Setup']","['Economic', 'Negotiation']"
boardgame,Carcassonne,2000,2,5,30,45,37.5,7,8,7.31309,7.4206,94527,1.9171,7239,17506,3391426,5481,137052,1577,540,6165,"['Area Majority / Influence', 'Map Addition', 'Tile Placement']","['City Building', 'Medieval', 'Territory Building']"
boardgame,Pandemic,2008,2,4,45,45,45.0,8,10,7.52206,7.6182,94302,2.4154,5180,15546,3589111,6141,141390,2155,648,8449,"['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",['Medical']
boardgame,7 Wonders,2010,2,7,30,30,30.0,10,10,7.66497,7.76273,78287,2.3323,4361,13113,3534629,5277,103903,1338,1046,10713,"['Card Drafting', 'Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Trading', 'Variable Player Powers']","['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']"
boardgame,Dominion,2008,2,4,30,30,30.0,13,10,7.52465,7.62968,74007,2.3593,4821,12878,3970814,6165,96373,1887,629,7480,"['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Take That', 'Variable Setup']","['Card Game', 'Medieval']"
boardgame,Ticket to Ride,2004,2,5,30,60,45.0,8,8,7.32651,7.43263,66859,1.8548,4434,12008,2244586,3113,89544,832,677,5884,"['Card Drafting', 'Connections', 'Hand Management', 'Map Reduction', 'Network and Route Building', 'Set Collection']",['Trains']
boardgame,Codenames,2015,2,8,15,15,15.0,14,10,7.55904,7.64717,60996,1.2985,1608,8296,1985671,1512,96633,916,337,4969,"['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']","['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
boardgame,Agricola,2007,1,5,30,150,90.0,12,12,7.8557,7.96404,60950,3.6395,5912,12359,4576867,5658,72755,1258,1132,9996,"['Advantage Token', 'Automatic Resource Growth', 'Card Drafting', 'Enclosure', 'Hand Management', 'Increase Value of Unchosen Resources', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers', 'Worker Placement']","['Animals', 'Economic', 'Farming']"
boardgame,Puerto Rico,2002,3,5,90,150,120.0,12,12,7.88976,8.01083,60445,3.2829,5910,11681,3644766,3628,70320,1247,1007,8802,"['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive', 'Variable Phase Order']","['City Building', 'Economic', 'Farming']"
boardgame,Small World,2009,2,5,40,80,60.0,8,8,7.18667,7.27542,58405,2.3605,3132,9362,2679527,3607,77302,1897,914,8707,"['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Increase Value of Unchosen Resources', 'Variable Player Powers', 'Victory Points as a Resource']","['Fantasy', 'Fighting', 'Territory Building']"
boardgame,Terraforming Mars,2016,1,5,120,120,120.0,12,12,8.27695,8.42658,54503,3.2372,2175,8155,5129624,4675,71684,331,2092,15744,"['Card Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']","['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']"
boardgame,King of Tokyo,2011,2,6,30,30,30.0,8,6,7.10488,7.19748,54022,1.4925,2404,9242,1865048,2735,77448,1159,700,6256,"['Card Drafting', 'Dice Rolling', 'King of the Hill', 'Player Elimination', 'Push Your Luck', 'Re-rolling and Locking']","['Dice', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']"
